lead_days,n,mae,rmse,bias,n_hot,bias_hot,n_normal,bias_normal,welch_t,p_value
1,1636,0.6246332518337409,0.8622446115639977,-0.08233496332518342,166,-0.17048192771084375,1470,-0.07238095238095237,-1.7908062511522878,0.07457738900719331
3,1634,1.0734394124847002,1.4721195138007976,-0.16046511627906976,166,-0.1542168674698794,1468,-0.16117166212534065,0.06312777238516236,0.9497237070409212
5,1632,1.615686274509804,2.1610154430494104,-0.1256127450980392,166,0.5801204819277108,1466,-0.20552523874488404,4.767835514413444,3.464198906302268e-06
7,1630,2.3830061349693255,3.199207148711708,-0.29159509202453987,165,1.833939393939394,1465,-0.5309897610921501,8.522469884571686,4.228096650136683e-15
