lead_days,n,mae,rmse,bias,n_hot,bias_hot,n_normal,bias_normal,welch_t,p_value
1,1636,0.4293398533007335,0.5980510318315793,0.05953545232273839,166,0.0638554216867469,1470,0.05904761904761908,0.09601003994092845,0.923608047268031
3,1634,0.6951652386780907,0.9298563345687206,0.11817625458996332,166,0.07048192771084344,1468,0.12356948228882836,-0.766538960619822,0.4441995067197835
5,1632,1.175122549019608,1.5719781156486978,0.2790441176470589,166,0.3825301204819278,1466,0.26732605729877223,0.8210539231253318,0.41261803466701075
7,1630,1.6903680981595093,2.267861618136875,0.6032515337423313,165,1.4442424242424243,1465,0.5085324232081911,4.743110246906812,4.0751415298951964e-06
