date,lead_days,model,latitude,longitude,actual_tmax,actual_tmin,forecast_tmax,forecast_tmin,error_tmax,error_tmin
2026-07-13,10,ecmwf_ifs025,48.5734,7.7521,34.3,19.7,35.3,22.1,-1.0,-2.400000000000002
2026-07-14,10,ecmwf_ifs025,48.5734,7.7521,33.0,21.1,34.6,22.3,-1.6000000000000014,-1.1999999999999993
2026-07-15,10,ecmwf_ifs025,48.5734,7.7521,30.0,20.9,27.8,21.1,2.2,-0.2000000000000028
2026-07-16,10,ecmwf_ifs025,48.5734,7.7521,32.6,20.4,33.9,20.6,-1.2999999999999972,-0.2000000000000028
2026-07-17,10,ecmwf_ifs025,48.5734,7.7521,28.5,18.8,34.3,21.2,-5.799999999999997,-2.3999999999999986
2026-07-18,10,ecmwf_ifs025,48.5734,7.7521,25.9,18.0,27.6,20.6,-1.7000000000000028,-2.6000000000000014
