lead_days,n,mae,rmse,bias,n_hot,bias_hot,n_normal,bias_normal,welch_t,p_value
1,1636,0.6850244498777507,0.9363319944933958,0.06754278728606351,169,0.4035502958579882,1467,0.028834355828220807,5.321470747320241,2.564053455778811e-07
3,1634,1.1517747858017136,1.5404898361003616,0.005507955936352478,169,0.47869822485207103,1465,-0.049078498293515384,4.613826490141987,6.727686646275598e-06
5,1632,1.6607230392156864,2.244127685455409,-0.03719362745098049,169,0.9934911242603549,1463,-0.1562542720437458,6.898522605104684,5.61531369929688e-11
7,1630,2.32319018404908,3.0657378339084493,-0.18674846625766878,168,1.9273809523809524,1462,-0.4296853625170999,9.828057688834884,5.660680338316571e-19
