lead_days,n,mae,rmse,bias,n_hot,bias_hot,n_normal,bias_normal,welch_t,p_value
1,1636,0.48386308068459655,0.6440910655594412,0.13728606356968218,169,0.41301775147928993,1467,0.10552147239263804,6.271537639080142,1.9754840684910224e-09
3,1634,0.8405752753977969,1.1239220321686574,0.251468788249694,169,0.4958579881656804,1465,0.22327645051194542,3.0991661140744933,0.0022067566767184394
5,1632,1.2454044117647058,1.6668792756549116,0.2702818627450981,169,0.6420118343195266,1463,0.22734107997265893,3.1635406767545153,0.0017889687051815884
7,1630,1.7900613496932516,2.3659366943597187,0.6186503067484662,168,1.5125,1462,0.5159370725034199,5.177044325320034,5.406247434760717e-07
