lead_days,n,mae,rmse,bias,n_hot,bias_hot,n_normal,bias_normal,welch_t,p_value
1,1636,0.36644254278728605,0.49577062090997004,0.15079462102689487,5,0.02000000000000064,1631,0.1511955855303495,-0.8209826422147888,0.45730438302307447
3,1634,0.6340269277845777,0.8554168960778546,0.26413708690330473,5,0.7,1629,0.2627992633517496,2.0984571238621768,0.10253876623104922
5,1632,1.0220588235294117,1.3718234251549728,0.4105392156862745,5,1.6800000000000002,1627,0.4066379840196681,1.2122060084565913,0.2920187136656997
7,1630,1.4292638036809817,1.872161245742831,0.6449693251533744,4,1.8749999999999996,1626,0.6419434194341944,1.3238603119173102,0.27702298767545497
