lead_days,n,mae,rmse,bias,n_hot,bias_hot,n_normal,bias_normal,welch_t,p_value
1,1636,0.42665036674816625,0.5853550946195532,0.17176039119804404,5,0.3800000000000011,1631,0.17112201103617414,0.52784774207364,0.625465438264752
3,1634,0.7078335373317013,0.9549010343025697,0.24124847001223995,5,2.0600000000000014,1629,0.23566605279312466,1.330848912257477,0.25399702480584224
5,1632,1.0338848039215687,1.3490396911267268,0.19564950980392162,5,1.9,1627,0.19041180086047946,2.4987730302600375,0.06656509518783496
7,1630,1.3450306748466259,1.7533596147540034,0.02503067484662582,4,3.3500000000000005,1626,0.01685116851168516,2.722074008352003,0.07222394759008813
