lead_days,n,mae,rmse,bias,n_hot,bias_hot,n_normal,bias_normal,welch_t,p_value
1,1636,0.620843520782396,0.8639726009872788,0.01680929095354517,146,0.38767123287671246,1490,-0.019530201342281957,5.95602239525649,1.3105161504595919e-08
3,1634,1.0659118727050183,1.4455498756820726,-0.04094247246022034,146,0.678082191780822,1488,-0.11149193548387099,6.125093560903234,5.992200655171085e-09
5,1632,1.524264705882353,2.0840812383021774,0.010906862745097981,145,1.2096551724137934,1487,-0.10598520511096174,7.086332376136404,3.4779446467571194e-11
7,1630,2.097730061349693,2.794386353392197,-0.20766871165644168,143,2.1083916083916088,1487,-0.43039677202420984,9.734501991996874,5.8177494732930955e-18
