lead_days,n,mae,rmse,bias,n_hot,bias_hot,n_normal,bias_normal,welch_t,p_value
1,1636,0.4638141809290953,0.6321461871719153,0.15684596577017115,146,0.20410958904109602,1490,0.1522147651006711,1.1416398684994757,0.2550466900411271
3,1634,0.8375764993880048,1.1356954528247032,0.3307221542227663,146,0.3972602739726027,1488,0.32419354838709674,0.8369013828722658,0.4037511108326466
5,1632,1.289889705882353,1.7345095226932958,0.47542892156862737,145,0.8193103448275861,1487,0.4418964357767317,2.356483829344406,0.0196103456765796
7,1630,1.7958282208588956,2.3882483248920523,0.8090797546012269,143,2.065734265734266,1487,0.6882313382649631,6.605677636013714,5.151083911607702e-10
