lead_days,n,mae,rmse,bias,n_hot,bias_hot,n_normal,bias_normal,welch_t,p_value
1,1636,0.4408312958435208,0.5996637199440323,0.0958435207823961,142,0.2640845070422536,1494,0.07985274431057562,3.0598753606235842,0.002596712424496774
3,1634,0.7755201958384335,1.054407314941296,0.22411260709914324,142,0.3563380281690142,1492,0.21152815013404827,1.5924114791691522,0.11316528460170619
5,1632,1.2529411764705884,1.662751528960002,0.36176470588235293,142,0.6767605633802819,1490,0.331744966442953,2.223643493086934,0.02754220774302785
7,1630,1.7679754601226996,2.341809902539466,0.672638036809816,140,2.0857142857142863,1490,0.5398657718120806,6.881456296667449,1.3116508540929419e-10
