lead_days,n,mae,rmse,bias,n_hot,bias_hot,n_normal,bias_normal,welch_t,p_value
1,1636,0.6633863080684598,0.8977525592844119,-0.05238386308068462,142,0.21619718309859146,1494,-0.0779116465863454,3.8589750103461395,0.00016115019116685406
3,1634,1.1108323133414932,1.5007974216584972,-0.15477356181150553,142,0.40915492957746463,1492,-0.20844504021447724,4.898204351085536,2.2250625140392933e-06
5,1632,1.5903799019607843,2.148093945347646,-0.1294730392156863,142,0.9591549295774647,1490,-0.2332214765100671,6.451714876712792,1.114251775475764e-09
7,1630,2.1883435582822086,2.923509530591635,-0.2733742331288344,140,2.227142857142857,1490,-0.5083221476510068,10.273992747487782,2.22838015061613e-19
