lead_days,n,mae,rmse,bias,n_hot,bias_hot,n_normal,bias_normal,welch_t,p_value
1,1636,0.5843520782396088,0.8250657527327857,0.3660146699266503,24,1.4666666666666675,1612,0.34962779156327545,3.4578629546179998,0.0021230908306955816
3,1634,0.8580171358629131,1.1659909449566621,0.44014687882496945,24,1.7874999999999996,1610,0.4200621118012422,3.7260225325377236,0.0010935273637881632
5,1632,1.1859068627450982,1.616103095624247,0.4376225490196079,24,2.754166666666667,1608,0.40304726368159205,4.6006014337355206,0.00012293730796315825
7,1630,1.5150920245398776,2.0249092988851762,0.35030674846625764,24,3.275,1606,0.30660024906600253,5.428492578253148,1.5388587609708893e-05
