lead_days,n,mae,rmse,bias,n_hot,bias_hot,n_normal,bias_normal,welch_t,p_value
1,1636,0.4073960880195599,0.5616677488931506,0.18575794621026898,24,0.050000000000000266,1612,0.18777915632754344,-0.8467608009714054,0.405741801791476
3,1634,0.6383108935128519,0.83311216975441,0.2929008567931457,24,0.3375000000000002,1610,0.29223602484472055,0.20011241757604237,0.8431261063635128
5,1632,0.9753676470588235,1.2569317606697636,0.3270833333333333,24,0.8916666666666669,1608,0.31865671641791044,2.397047011072266,0.02475799345192378
7,1630,1.3539877300613496,1.742912026261895,0.5364417177914111,24,1.3208333333333333,1606,0.524719800747198,1.629690115778989,0.11659747856494113
