date,lead_days,model,latitude,longitude,actual_tmax,actual_tmin,forecast_tmax,forecast_tmin,error_tmax,error_tmin
2026-07-13,10,ecmwf_ifs025,43.7102,7.262,32.0,24.2,33.4,25.0,-1.3999999999999986,-0.8000000000000007
2026-07-14,10,ecmwf_ifs025,43.7102,7.262,30.3,23.4,33.1,25.2,-2.8000000000000007,-1.8000000000000007
2026-07-15,10,ecmwf_ifs025,43.7102,7.262,30.2,23.5,31.1,23.8,-0.9000000000000021,-0.3000000000000007
2026-07-16,10,ecmwf_ifs025,43.7102,7.262,30.4,25.3,32.1,25.6,-1.7000000000000028,-0.3000000000000007
2026-07-17,10,ecmwf_ifs025,43.7102,7.262,31.8,24.0,30.1,25.5,1.6999999999999993,-1.5
2026-07-18,10,ecmwf_ifs025,43.7102,7.262,31.6,23.1,34.7,24.6,-3.1000000000000014,-1.5
2026-07-19,10,ecmwf_ifs025,43.7102,7.262,30.8,24.0,29.9,25.1,0.9000000000000021,-1.1000000000000014
2026-07-20,10,ecmwf_ifs025,43.7102,7.262,30.6,22.7,31.9,26.1,-1.2999999999999972,-3.400000000000002
2026-07-21,10,ecmwf_ifs025,43.7102,7.262,31.9,22.7,33.4,26.0,-1.5,-3.3000000000000007
