lead_days,n,mae,rmse,bias,n_hot,bias_hot,n_normal,bias_normal,welch_t,p_value
1,1636,0.6538508557457212,0.9236468328764196,0.05739608801955995,193,0.2414507772020725,1443,0.03277893277893284,3.656370194411913,0.0003036287786674493
3,1634,1.1277845777233784,1.537280499502068,0.07343941248470015,193,0.40777202072538854,1441,0.02866065232477447,3.7677767840319847,0.0002014584775865676
5,1632,1.6264093137254902,2.2316174451658664,0.05851715686274513,193,0.8481865284974093,1439,-0.047394023627519065,6.514474066335144,3.2116898948367033e-10
7,1630,2.3998159509202455,3.2035496033852344,-0.056134969325153355,192,1.7843749999999998,1438,-0.3018776077885953,9.46887259085066,1.8169939176777953e-18
