lead_days,n,mae,rmse,bias,n_hot,bias_hot,n_normal,bias_normal,welch_t,p_value
1,1636,0.4552567237163814,0.613419610529291,0.059413202933985325,193,0.20362694300518133,1443,0.04012474012474013,3.596315932724147,0.0003888132614793822
3,1634,0.7756425948592411,1.007614826061476,0.22056303549571604,193,0.4497409326424871,1441,0.18986814712005554,3.693963429273089,0.00026970857590856835
5,1632,1.2251225490196076,1.5993871375268323,0.21274509803921565,193,0.5284974093264249,1439,0.17039610840861708,3.118334464505047,0.0020272584046914107
7,1630,1.7616564417177913,2.2916051116477423,0.588159509202454,192,1.4453125,1438,0.47371349095966625,6.050601595102906,5.179597337016447e-09
