lead_days,n,mae,rmse,bias,n_hot,bias_hot,n_normal,bias_normal,welch_t,p_value
1,1636,0.5243887530562347,0.7147032485558832,0.09125916870415648,143,0.10839160839160836,1493,0.08961821835231079,0.2805969027264893,0.7793700460594261
3,1634,0.919155446756426,1.2499375749406327,0.22123623011015917,143,0.18811188811188814,1491,0.22441314553990613,-0.3374056934052648,0.7362260890510894
5,1632,1.505575980392157,2.033730574343516,0.4261642156862745,143,0.5594405594405595,1489,0.41336467427803897,0.8532821139506025,0.39469169271297644
7,1630,2.018466257668712,2.697994028744523,0.7498773006134969,143,1.986013986013986,1487,0.6310020174848688,5.007250327305161,1.4463622354839687e-06
