lead_days,n,mae,rmse,bias,n_hot,bias_hot,n_normal,bias_normal,welch_t,p_value
1,1636,0.6378361858190709,0.8950932529855994,-0.0587408312958435,143,-0.058041958041957616,1493,-0.058807769591426674,0.008236566126685057,0.9934384823259523
3,1634,1.0326805385556916,1.4441626899878692,-0.18188494492044063,143,0.06083916083916118,1491,-0.20516431924882628,2.0223330582978076,0.04473636131873245
5,1632,1.5217524509803921,2.1100033105633353,-0.16452205882352938,143,0.7335664335664339,1489,-0.25077233042310276,4.488074005891458,1.3680387142479602e-05
7,1630,2.117668711656442,2.897811740509653,-0.2884662576687116,143,2.1944055944055947,1487,-0.527236045729657,8.061167723427396,1.937489335726292e-13
