lead_days,n,mae,rmse,bias,n_hot,bias_hot,n_normal,bias_normal,welch_t,p_value
1,1636,0.4164425427872861,0.556210765490854,0.0555623471882641,187,0.058823529411764885,1449,0.05514147688060733,0.07374171797451769,0.9412829675217936
3,1634,0.7446756425948592,0.9948028965265313,0.10869033047735623,187,0.0812834224598932,1447,0.11223220456116105,-0.37493902705262355,0.7080546542831887
5,1632,1.2136029411764706,1.6370930118389013,0.30465686274509807,187,0.2764705882352942,1445,0.3083044982698962,-0.2291254724914047,0.8189803090062306
7,1630,1.6933742331288342,2.2896030679113264,0.6597546012269939,187,1.5818181818181818,1443,0.5402633402633403,5.41182160490241,1.6161723022826063e-07
