lead_days,n,mae,rmse,bias,n_hot,bias_hot,n_normal,bias_normal,welch_t,p_value
1,1636,0.640403422982885,0.90165902510595,-0.08147921760391198,187,-0.0721925133689837,1449,-0.08267770876466532,0.15137438056872382,0.879808788227189
3,1634,1.1050183598531214,1.4808322447485074,-0.17772337821297432,187,-0.026737967914438485,1447,-0.19723565998617837,1.5741715048311407,0.11674034125452733
5,1632,1.6511029411764708,2.262933957949108,-0.08713235294117642,187,1.012299465240642,1445,-0.22941176470588234,6.466957171855093,6.177856237170214e-10
7,1630,2.40079754601227,3.259488273284778,-0.2459509202453988,187,2.270053475935829,1443,-0.572002772002772,10.004485275170005,1.1933704892427168e-19
