lead_days,n,mae_tmax,rmse_tmax,bias_tmax,n_hot,bias_tmax_hot,n_normal,bias_tmax_normal,welch_t,p_value
1,865,0.7256647398843931,0.9942900566550014,-0.1291329479768786,93,0.42688172043010747,772,-0.1961139896373057,6.5557438596739495,1.355336404168617e-09
3,865,1.0028901734104045,1.360605951373613,-0.20427745664739883,93,0.5129032258064516,772,-0.2906735751295337,4.934510038234103,2.8990912927638404e-06
5,865,1.4857803468208093,1.9563679926188102,-0.2309826589595375,93,0.9870967741935485,772,-0.37772020725388594,5.6019647275589435,1.6496183371238528e-07
7,865,2.3013872832369944,3.0460492748757524,0.3127167630057804,93,3.2462365591397857,772,-0.040673575129533665,9.235315442625915,2.4332207658297397e-15
