lead_days,n,mae_tmax,rmse_tmax,bias_tmax,n_hot,bias_tmax_hot,n_normal,bias_tmax_normal,welch_t,p_value
1,773,0.7461836998706338,1.017212791343054,-0.1423027166882276,72,-0.35138888888888864,701,-0.12082738944365187,-1.677218058377657,0.09726923049014603
3,773,1.3104786545924967,1.725473105716545,-0.3097024579560155,72,-0.5902777777777776,701,-0.2808844507845934,-1.3936284923015745,0.16709603950115215
